"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","resource not found","tests.api","Tue Jan 14 13:46:37 GMT 2025","passed","Tue Jan 14 13:46:38 GMT 2025","","test_resources_api","",""
"","230","Success login from UI","tests.ui","Tue Jan 14 13:46:44 GMT 2025","passed","Tue Jan 14 13:46:44 GMT 2025","","test_login","",""
"","1349","remove item from cart full flow","tests.ui","Tue Jan 14 13:46:42 GMT 2025","passed","Tue Jan 14 13:46:44 GMT 2025","","test_e2e","",""
"","289","user deletion api test","tests.api","Tue Jan 14 13:46:39 GMT 2025","passed","Tue Jan 14 13:46:40 GMT 2025","","test_users_api","",""
"","287","test_get_users[9-avatar-https://reqres.in/img/faces/9-image.jpg]","tests.api","Tue Jan 14 13:46:38 GMT 2025","passed","Tue Jan 14 13:46:38 GMT 2025","","test_users_api","",""
"","222","Success login from UI","tests.ui","Tue Jan 14 13:46:45 GMT 2025","passed","Tue Jan 14 13:46:45 GMT 2025","","test_login","",""
"","96","get resource list","tests.api","Tue Jan 14 13:46:37 GMT 2025","passed","Tue Jan 14 13:46:37 GMT 2025","","test_resources_api","",""
"","294","get resource by ID","tests.api","Tue Jan 14 13:46:36 GMT 2025","passed","Tue Jan 14 13:46:36 GMT 2025","","test_resources_api","",""
"","69","test_get_users_list","tests.api","Tue Jan 14 13:46:39 GMT 2025","passed","Tue Jan 14 13:46:39 GMT 2025","","test_users_api","",""
"","290","get resource by ID","tests.api","Tue Jan 14 13:46:37 GMT 2025","passed","Tue Jan 14 13:46:37 GMT 2025","","test_resources_api","",""
"","290","get resource by ID","tests.api","Tue Jan 14 13:46:36 GMT 2025","passed","Tue Jan 14 13:46:37 GMT 2025","","test_resources_api","",""
"","22","test_get_users[7-last_name-Lawson]","tests.api","Tue Jan 14 13:46:38 GMT 2025","passed","Tue Jan 14 13:46:38 GMT 2025","","test_users_api","",""
"","325","successful login test","tests.api","Tue Jan 14 13:46:34 GMT 2025","passed","Tue Jan 14 13:46:34 GMT 2025","","test_login_api","",""
"","578","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 13:46:35 GMT 2025","passed","Tue Jan 14 13:46:35 GMT 2025","","test_register_api","",""
"","296","get resource by ID","tests.api","Tue Jan 14 13:46:37 GMT 2025","failed","Tue Jan 14 13:46:37 GMT 2025","","test_resources_api","",""
"","216","Login failures including relevant error validation","tests.ui","Tue Jan 14 13:46:55 GMT 2025","passed","Tue Jan 14 13:46:55 GMT 2025","","test_login","",""
"","293","user creation api test","tests.api","Tue Jan 14 13:46:39 GMT 2025","passed","Tue Jan 14 13:46:39 GMT 2025","","test_users_api","",""
"","220","Login failures including relevant error validation","tests.ui","Tue Jan 14 13:46:56 GMT 2025","passed","Tue Jan 14 13:46:56 GMT 2025","","test_login","",""
"","263","Success login from UI","tests.ui","Tue Jan 14 13:46:51 GMT 2025","passed","Tue Jan 14 13:46:52 GMT 2025","","test_login","",""
"","24","get resource by ID","tests.api","Tue Jan 14 13:46:37 GMT 2025","failed","Tue Jan 14 13:46:37 GMT 2025","","test_resources_api","",""
"","24","test_get_users[1-name-george]","tests.api","Tue Jan 14 13:46:38 GMT 2025","failed","Tue Jan 14 13:46:38 GMT 2025","","test_users_api","",""
