"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191","resource not found","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_resources_api","",""
"","41","test_get_users[8-last_name-bla]","tests.api","Tue Jan 14 17:48:23 GMT 2025","failed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
"","208","Login failures including relevant error validation","tests.ui","Tue Jan 14 17:48:43 GMT 2025","passed","Tue Jan 14 17:48:44 GMT 2025","","test_login","",""
"","186","Login failures including relevant error validation","tests.ui","Tue Jan 14 17:48:43 GMT 2025","passed","Tue Jan 14 17:48:43 GMT 2025","","test_login","",""
"","1433","E2E flow - purchase from UI test","tests.ui","Tue Jan 14 17:48:27 GMT 2025","passed","Tue Jan 14 17:48:29 GMT 2025","","test_e2e","",""
"","223","Success login from UI","tests.ui","Tue Jan 14 17:48:32 GMT 2025","passed","Tue Jan 14 17:48:32 GMT 2025","","test_login","",""
"","199","user deletion api test","tests.api","Tue Jan 14 17:48:24 GMT 2025","passed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
"","34","get resource by ID","tests.api","Tue Jan 14 17:48:23 GMT 2025","failed","Tue Jan 14 17:48:23 GMT 2025","","test_resources_api","",""
"","180","user update api test","tests.api","Tue Jan 14 17:48:24 GMT 2025","passed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
"","33","get resource by ID","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_resources_api","",""
"","233","Success login from UI","tests.ui","Tue Jan 14 17:48:40 GMT 2025","failed","Tue Jan 14 17:48:41 GMT 2025","","test_login","",""
"","1385","remove item from cart full flow","tests.ui","Tue Jan 14 17:48:29 GMT 2025","passed","Tue Jan 14 17:48:31 GMT 2025","","test_e2e","",""
"","39","test_get_users[7-last_name-Lawson]","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_users_api","",""
"","34","test_get_users[9-avatar-https://reqres.in/img/faces/9-image.jpg]","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_users_api","",""
